script_name;original_energy;optimized_gpt3_energy;optimized_gpt4_energy;optimized_llama_energy;optimized_mixtral_energy;baseline_energy;original_memory;optimized_gpt3_memory;optimized_gpt4_memory;optimized_llama_memory;optimized_mixtral_memory;baseline_memory;original_time;optimized_gpt3_time;optimized_gpt4_time;optimized_llama_time;optimized_mixtral_time;baseline_time
chap11__chap11_2;107.47215881344746;113.12310994473907;110.80646311440505;116.76816965748051;104.2664627076049;0;62518613.333333336;65782169.6;56347306.666666664;62576366.93333333;61862161.06666667;0;9216.533333333333;9556.7;9343.466666666667;9443.433333333332;9203.5;0
p3__pei;104.68082275383058;107.10536397295073;119.83127746579508;105.76002197260968;101.58868713382786;0;52824064.0;63025834.666666664;68093132.8;81614711.46666667;63589717.333333336;0;8849.9;8963.3;9223.333333333334;8923.233333333334;8509.833333333334;0
wrappers__path_to_medit;109.42175089518423;116.44769744866838;115.58196105958584;108.31269734686745;122.55157368983879;0;59691281.06666667;72176025.6;47984503.46666667;58293862.4;67057937.06666667;0;9096.633333333333;9316.766666666666;10063.633333333333;8969.866666666667;10170.3;0
cartPole__RESULTS_makePlots;107.03651580799293;110.6358535767591;111.70345001217211;106.46608479826827;110.25349324541361;0;76600797.86666666;78441949.86666666;67428352.0;87595144.53333333;63466700.8;0;9083.366666666667;9330.2;9076.8;8809.833333333334;9123.366666666667;0
gradientsTutorial__MAIN;117.0337209065697;113.2083160400022;110.71095326731641;117.23329111729787;110.33871815999737;0;51665715.2;58166203.733333334;67133986.13333334;60498056.53333333;71293610.66666667;0;9103.366666666667;8989.966666666667;9370.1;8876.533333333333;9136.8;0
chap15__chap15_7;104.04372304287584;114.65381724031177;104.5678532918333;108.19394175213529;107.11987711587378;0;68279773.86666666;67202389.33333333;55892377.6;64928017.06666667;59565397.333333336;0;8509.766666666666;9156.633333333333;8529.866666666667;8963.233333333334;9296.766666666666;0
fetch_data__fetch_model_VGG16;1290.7423762003348;1115.3852264403852;1643.1139226277708;1196.423494974712;1069.3548970541335;0;311418606.93333334;297789166.93333334;306701243.73333335;248941226.66666666;297702195.2;0;207448.63333333333;183383.26666666666;254333.83333333334;187244.93333333332;170060.43333333332;0
KPMtools__logsum_test;103.18814493820149;115.61528269444825;108.34835866290378;109.56840362530589;107.46862436928204;0;62030233.6;56398643.2;62180966.4;61123242.666666664;70309478.4;0;8603.266666666666;9550.1;9043.366666666667;9450.066666666668;9109.966666666667;0
2D模型改进__best_xitong_expand;114.52727101640194;109.85051879876991;105.6062810262277;120.76578979491218;108.29605407723187;0;66528324.266666666;71493768.53333333;82280721.06666666;54614016.0;75499110.4;0;9029.9;9150.066666666668;8683.333333333334;9723.466666666667;9023.3;0
chap4__chap4_20;110.67505798341008;107.24348805739815;105.49307607009929;110.21653340664344;109.57317708337214;0;45365930.666666664;58849962.666666664;59195938.13333333;55208618.666666664;68540142.93333334;0;9123.2;9023.266666666666;8529.8;9270.0;9050.0;0
matrix__default_mosek_param;107.68448689785825;107.22731170649446;110.35793965657746;108.62064310716038;121.80662943516897;0;69497787.73333333;62945826.13333333;65892352.0;87781102.93333334;68171502.93333334;0;8916.6;8796.6;9043.3;8816.6;9250.066666666668;0
2014.12.23.针对“1300m乘以800m的矩形场景中，有半径250m，高度80m的圆锥”干涉处理__InSAR_processing_using_CSA;105.65794881173642;104.01039581293783;107.71443023689984;111.65522460935365;130.80429941819747;0;61701461.333333336;57896140.8;71210461.86666666;63749870.93333333;54527453.86666667;0;8816.566666666668;8563.166666666666;8976.5;8976.6;10036.966666666667;0
027_Data regression prediction based on extreme learning machine__main;121.42105916348906;121.87733917238462;121.33291829436979;123.25990549719427;0.0;0;54112938.666666664;55285213.86666667;64799539.2;62976819.2;0.0;0;10250.3;9570.133333333333;9957.0;10630.566666666668;0.0;0
chapter4__BP;100.21433614088261;104.91373697913369;103.75144755043439;107.41612040204151;110.54471232091116;0;60377361.06666667;70195336.53333333;71256064.0;66277785.6;59006429.86666667;0;8549.8;8896.633333333333;8563.2;9216.666666666666;9476.866666666667;0
fetch_data__fetch_demo_model_ResNet101;216.47121531168037;171.6856155395372;177.32480519610496;175.78179728192433;131.30970764157053;0;204658961.06666666;174814412.8;201684582.4;206388838.4;64935526.4;0;23260.266666666666;17352.233333333334;17718.933333333334;17845.4;10877.133333333333;0
Constant Modulus__CE_similarity_bb_BRS;479.1270507812888;468.82858428958957;155.82987213135735;138.83773345947847;471.75902048747326;0;21214139.733333334;43433847.46666667;64348706.13333333;41602935.46666667;46498065.06666667;0;46720.0;46213.066666666666;11677.5;10603.666666666666;46586.6;0
testfunctions__main;108.22903442384947;107.19902801519687;115.20978749598143;118.80202280675294;108.9402135212246;0;55334092.8;61856153.6;66702677.333333336;66265634.13333333;63279377.06666667;0;9350.066666666668;9243.3;9183.233333333334;9123.333333333334;8696.6;0
costOfTransport__MAIN;111.97005004881454;108.81408335356585;110.62272389724191;112.71648050946533;110.06276092528327;0;56051848.53333333;62983782.4;68431325.86666666;63331123.2;79594018.13333334;0;9223.233333333334;8996.566666666668;8563.1;9470.1;8863.166666666666;0
AC解决机器人路径规划__main;107.55748697908324;0.0;0.0;110.8800893147573;109.2508341471296;0;58680388.266666666;0.0;0.0;82846515.2;69576294.4;0;8943.366666666667;0.0;0.0;8543.166666666666;9023.3;0
Alamouti空时块码__Alamouti_scheme;105.23984629314897;106.8979314168624;107.30617116283975;106.32667388917568;122.60219573981594;0;66530645.333333336;63241147.733333334;57762884.266666666;64393898.666666664;62091400.53333333;0;9023.433333333332;8809.866666666667;9123.2;8983.333333333334;9670.3;0
eeglab__icadefs;112.93450317383007;0.0;0.0;123.45629831954915;123.07826588943718;0;48898457.6;0.0;0.0;59951104.0;55031534.93333333;0;9616.733333333334;0.0;0.0;9890.166666666666;10297.066666666668;0
多目标模糊综合评价__main;116.96237436926846;224.40344085696853;241.98812713636627;213.10439961751496;219.51936086012864;0;62199534.93333333;122532249.6;133673506.13333334;143520290.13333333;125094024.53333333;0;9436.733333333334;18046.733333333334;19000.133333333335;17693.133333333335;18233.2;0
data_generator__distortion_saver;109.7420628865754;120.0320810952903;106.56744537356232;104.9688293457982;112.07690938320398;0;53900356.266666666;81498521.6;56579959.46666667;58695270.4;58255086.93333333;0;9283.366666666667;8790.0;8829.9;8589.9;8823.3;0
chap13__chap13_9;107.85807240810246;107.67544301340628;104.55637715656;105.2733393350849;105.80768585206049;0;75668548.26666667;42146747.733333334;65718545.06666667;47489433.6;61706240.0;0;8783.266666666666;9283.366666666667;9123.366666666667;8563.133333333333;8856.666666666666;0
Evaluation__Evaluation_for_Single_Image;116.57461954751052;122.95388132728016;115.34649505620473;109.74267069499668;107.2097691855374;0;62116249.6;54833288.53333333;44716168.53333333;56535722.666666664;66812586.666666664;0;9003.366666666667;10297.066666666668;9476.633333333333;8963.366666666667;8976.633333333333;0
2D系泊系统__best_xitong;114.35496775300126;110.9389302571731;112.13026224776016;105.0955317179168;106.79938201896148;0;71593984.0;62942958.93333333;61638109.86666667;63232136.53333333;53833045.333333336;0;8970.033333333333;8583.2;8776.633333333333;8529.8;8823.3;0
chapter25__FCMGRNN;111.11548461916196;113.18345947268341;108.31286417642065;103.79730580642159;117.20526733391452;0;66102340.266666666;69252437.33333333;67460300.8;85613636.26666667;55250397.86666667;0;8509.8;8883.266666666666;9336.633333333333;8536.433333333332;9370.1;0
案例22 LVQ神经网络的预测——人脸朝向识别__chapter22_bp;107.7074645996055;226.03572998047846;218.32075602214707;214.35262400302454;210.47978312167496;0;58908535.46666667;116091972.26666667;143447927.46666667;130159820.8;137030041.6;0;9316.533333333333;18607.066666666666;18153.5;18240.0;17573.233333333334;0
A11168020_郑建国_陶禹诺_严洒洒__picprocess1;106.13010101318747;107.41119893385137;109.20916442876914;112.48695882161265;102.24814758309319;0;63436663.46666667;65340893.86666667;60516352.0;65269623.46666667;74953932.8;0;8809.833333333334;8836.666666666666;9016.666666666666;8903.2;8563.2;0
10_cities_TSP__main;109.06514129642747;222.5003011067844;225.9826187134216;214.0601216633067;224.20693206786527;0;64379016.53333333;119295726.93333334;136026521.6;133636505.6;104374272.0;0;9650.2;18359.966666666667;18286.866666666665;18093.433333333334;18533.4;0
改进FWGN信道模型__plot_modeified_FWGN;111.05677032475748;114.54044443771708;104.41812337243658;113.11380767826535;106.8407328286344;0;57791283.2;60216934.4;60392379.733333334;52227140.266666666;58248942.93333333;0;9170.033333333333;8956.6;9163.3;9290.133333333333;9583.4;0
EMPlanner__emplanner_init;151.44720509843708;152.9536844888935;159.38650767007493;163.3441772460336;107.75049845381679;0;63064200.53333333;57361339.733333334;61620633.6;58344243.2;80782677.33333333;0;11490.766666666666;11317.366666666667;11417.233333333334;11864.133333333333;8756.6;0
chap15__chap15_8;113.04965209956087;102.84679565427942;108.62823994948413;107.14467163091952;102.44470163979956;0;65156983.46666667;67545634.13333334;69468296.53333333;70760857.6;58107084.8;0;10063.566666666668;8489.733333333334;8923.2;8603.2;9090.033333333333;0
chap4__Untitled;100.9850051879126;105.306816609685;110.15109914144269;113.39219665531418;118.73489990237867;0;58724761.6;74187980.8;59525802.666666664;58367590.4;68505190.4;0;8656.566666666668;8829.866666666667;9390.133333333333;8909.8;8836.533333333333;0
CH07__bisect_demo;115.69688618971462;106.75103200273976;104.60909169515556;113.64081929527455;110.50525461822399;0;45893085.86666667;59352405.333333336;56048844.8;65852757.333333336;59363464.53333333;0;8850.0;8803.266666666666;8849.9;10096.833333333334;9656.9;0
A10009072_吉张鹤轩_杨升_陈同广__genpics;120.29277191165019;108.53038940429494;104.78880920421604;107.47008005778964;104.04577636707496;0;48012083.2;84071219.2;66319701.333333336;61733683.2;62670165.333333336;0;9130.1;9210.0;8696.566666666668;9076.733333333334;8529.9;0
private__ft_postamble_hastoolbox;116.26464742023964;110.48793741859845;110.64730529787097;112.39343210853791;106.52576192234604;0;55547904.0;45978828.8;52754432.0;42457907.2;84666641.06666666;0;9476.866666666667;10023.533333333333;9430.066666666668;8903.233333333334;8923.366666666667;0
UCI_DataSets__penD;115.17233835853403;114.08870086672638;106.69502054843858;105.08315531420327;109.50292917885818;0;73038233.6;72191180.8;63491822.93333333;70841002.66666667;46182536.53333333;0;8809.833333333334;8863.266666666666;8923.333333333334;8763.233333333334;9403.366666666667;0
PSO-basic__DrawGriewank;140.5908045450342;140.01465148923066;146.50140889480244;141.57637939452542;115.28093872072058;0;69429248.0;79116014.93333334;54779630.93333333;46405358.93333333;62239812.266666666;0;10617.266666666666;10723.9;11577.4;10763.866666666667;9496.733333333334;0
031_Data classification prediction based on particle swarm optimization algorithm optimized support vector machine (libsvm)__main;126.50287780761718;106.8157943725974;121.26111551922708;120.41610565184577;122.06594289142522;0;70831854.93333334;63596817.06666667;56220330.666666664;65265117.86666667;47504042.666666664;0;10163.566666666668;9023.333333333334;10023.666666666666;10177.0;10116.933333333332;0
test__TEST_definePropulsionModel;108.08170471197421;106.73123881018255;111.72493438720898;106.67345174164318;104.32620595294478;0;66147942.4;66569147.733333334;66154222.93333333;56974950.4;63940061.86666667;0;9296.633333333333;9083.3;9623.433333333332;9196.733333333334;9096.566666666668;0
案例22 LVQ神经网络的预测——人脸朝向识别__test;105.79422709140539;216.48624928785333;220.71680704752217;211.50873006171702;207.32367808018657;0;63636275.2;119026483.2;136690210.13333333;126987605.33333333;140512187.73333332;0;8729.9;18386.766666666666;18326.566666666666;17533.2;18413.566666666666;0
toolbox_fast_marching__perform_front_propagation_2d;104.06923472081738;108.57104695637439;122.3051157632377;105.52465972898257;109.4962722778204;0;65090901.333333336;58526651.733333334;57463466.666666664;63191040.0;77129864.53333333;0;8929.866666666667;8983.466666666667;8809.933333333332;8716.533333333333;8936.6;0
chap6__chap6_16;108.18651173909117;106.74004465734858;111.2522801717491;113.26511535633472;104.6965342203582;0;69669273.6;59414254.93333333;60558813.86666667;63206604.8;71618286.93333334;0;9250.0;8870.1;8556.533333333333;8723.233333333334;9030.0;0
3D_ICP-master__icp_test;146.55657348634364;150.0870203653079;147.094278462724;151.17790629065323;142.6562032064481;0;55144311.46666667;62400375.46666667;42260206.93333333;18918604.8;75336499.2;0;11750.7;11917.4;11477.366666666667;11544.033333333333;11997.433333333332;0
010_Data regression prediction based on random forest algorithm__main;119.89878082264525;117.74950307206018;123.37942759201397;127.48762512198688;120.73173624672151;0;70593467.73333333;46017877.333333336;59807744.0;60315101.86666667;63778542.93333333;0;9903.666666666666;9776.933333333332;10450.466666666667;9917.0;10417.033333333333;0
UCI_DataSets__letterD;107.45697224933343;111.41771138507174;112.13617706300963;171.52186787934625;106.21035054524934;0;73812104.53333333;47551010.13333333;56125713.06666667;69767168.0;68427502.93333334;0;8963.166666666666;9390.133333333333;9796.8;9690.4;8783.366666666667;0
chapter1__chapter1_1;174.38836008711561;106.27870737714888;113.00848236091551;122.04610544829048;107.52791290277382;0;61305651.2;50668885.333333336;56179916.8;65451895.46666667;57204872.53333333;0;9437.5;9230.066666666668;8996.6;8990.1;8936.6;0
p21__tou;108.6464426675695;108.65923207600717;118.84745381673177;116.00456644696533;134.52463480638883;0;64442231.46666667;59204812.8;64096119.46666667;75588130.13333334;53480516.266666666;0;9143.166666666666;8943.266666666666;9203.4;9196.8;9396.833333333334;0
chapter9__waiji;112.57889302568123;106.6681742349756;104.47099863688733;106.8147023517716;107.22290903737691;0;72260539.73333333;60359611.733333334;55296819.2;51153578.666666664;56798139.733333334;0;9763.533333333333;9323.466666666667;8883.2;8776.666666666666;9230.3;0
mlclass-ex6__getVocabList;113.89032796229003;335.2961914063082;335.1539601643356;325.6557362873864;337.90738932294386;0;55963238.4;187123029.33333334;201373286.4;187808153.6;204690636.8;0;10096.833333333334;26449.666666666668;27817.0;26643.066666666666;28143.633333333335;0
GA遗传算法解决TSP问题__main;107.16863098137158;104.08610890707351;111.86743520098389;103.27350412991558;115.23287200933943;0;63513258.666666664;49552998.4;66992674.13333333;71117209.6;48138649.6;0;9103.233333333334;8763.1;8749.966666666667;8509.833333333334;9223.266666666666;0
第四问__lengthstat;111.80774841306265;105.89250793460718;109.99704538973165;110.33176320383403;108.69028269446378;0;59629568.0;62922205.86666667;66335402.666666664;62244181.333333336;84344968.53333333;0;9696.933333333332;9210.033333333333;9230.1;8683.3;9403.4;0
p3__class;106.64930165608142;103.98282928466409;107.0132578531707;111.63458557134145;108.58077646888172;0;61679342.93333333;67012061.86666667;39897088.0;59467776.0;66799479.46666667;0;9009.866666666667;8663.333333333334;8529.766666666666;9036.733333333334;8843.2;0
chapter23__wavenn;107.37572886151223;116.21224212639888;111.31842956543939;107.25177205391034;0.0;0;63870156.8;56782438.4;58242935.46666667;70670062.93333334;0.0;0;8776.533333333333;10290.3;9496.866666666667;9076.466666666667;0.0;0
附件__account1;106.20476938880941;158.30480397533586;131.92495727535183;109.09568786623616;105.89923451739597;0;47937809.06666667;69688661.33333333;62335112.53333333;48692565.333333336;59197576.53333333;0;9029.9;9270.3;8916.6;9056.6;9043.4;0
chap4__chap4_05;109.33963012685611;109.38407948828147;107.88596089685258;107.90087025957958;107.12034861246745;0;48914158.93333333;76378385.06666666;59053533.86666667;73833403.73333333;81253034.66666667;0;9510.1;9483.666666666666;8816.533333333333;8749.933333333332;8656.566666666668;0
chap4__chap4_17;109.8635396321246;109.43805847162925;106.82829182935917;101.89944814051657;103.46369578041097;0;73748616.53333333;63027336.53333333;61740919.46666667;83021550.93333334;61077640.53333333;0;8649.866666666667;9483.433333333332;8969.933333333332;8743.233333333334;8843.366666666667;0
private__generatesessionid;113.40430755621055;119.272404479963;105.86177673348963;105.96943003338723;100.50891113279116;0;53648588.8;56352904.53333333;73002598.4;62186291.2;54956168.53333333;0;9810.266666666666;10003.533333333333;8950.033333333333;8970.0;8743.166666666666;0
案例1 BP神经网络的数据分类-语音特征信号分类__BPDLX;106.95462595631834;107.05116882330621;106.32020874033527;104.84879252123258;107.9741154989441;0;61783790.93333333;60808942.93333333;66774903.46666667;50908910.93333333;54003848.53333333;0;9070.0;8769.8;9190.066666666668;8643.2;9069.9;0
chebfun__ODEformats;125.99219614662385;121.81932779950827;120.59191284186285;121.0396504719567;125.00348256430976;0;61065762.13333333;49423291.733333334;70190011.73333333;60801706.666666664;68685004.8;0;9850.1;10016.8;9736.733333333334;10157.2;10237.1;0
2径信道模型和指数信道模型__plot_2ray_exp_model;103.50971323649671;102.96375732423427;103.38352762854193;108.51190745036001;113.83639526373203;0;63249339.733333334;74135825.06666666;74363426.13333334;69718562.13333334;49600512.0;0;8796.466666666667;8563.166666666666;9076.833333333334;9056.633333333333;9330.1;0
chapter30 极限学习机的回归拟合及分类——对比实验研究__main;122.308265686008;101.39538319912585;108.56631368000915;106.35849202478421;103.9340138754109;0;76850244.26666667;59207270.4;64064989.86666667;55922278.4;39813529.6;0;9436.7;8889.933333333332;9243.366666666667;8943.366666666667;9056.6;0
chap4__chap4_10;108.25605417891444;109.8605331421073;106.39042510989044;106.32440897624474;110.95453948973251;0;67933388.8;65916108.8;51016908.8;57733393.06666667;69576430.93333334;0;9236.666666666666;9196.733333333334;8776.566666666668;8583.2;9676.866666666667;0
Saleh-Valenzuela信道模型__plot_SV_model_ct;109.33120066329333;101.62542877196101;107.98372090665507;112.63987325026925;104.43304646815135;0;72596548.26666667;66014822.4;68193757.86666666;77242777.6;64971980.8;0;9109.966666666667;8523.2;9196.666666666666;8596.466666666667;8536.566666666668;0
案例11 连续Hopfield神经网络的优化-旅行商问题优化计算__main;108.2744277954897;216.2884353639034;207.84319305413132;217.04547322597742;105.41416219078238;0;64566749.86666667;124407261.86666666;123730602.66666667;134673885.86666667;45927765.333333336;0;9029.933333333332;18853.466666666667;17466.533333333333;18326.7;9296.733333333334;0
chapter22__chapter22_bp;109.86397908529617;114.86494547527205;106.04624989832907;103.73698832188772;111.87939300536915;0;61225642.666666664;58201156.266666666;53750169.6;51029879.46666667;68928716.8;0;9210.0;9110.033333333333;8970.0;8809.9;9736.9;0
Jakes模型__plot_Jakes_model;105.60577239990428;104.48082682294577;108.81136474602002;104.48248392745542;105.84367167152037;0;78350609.06666666;65987925.333333336;55554184.53333333;65717043.2;65300480.0;0;9016.6;8589.933333333332;9283.533333333333;8716.466666666667;8809.933333333332;0
traj_planning__runsim;271.98879597989145;112.93914133711951;121.89659322105386;269.33075307219985;114.2970738728686;0;36265847.46666667;71337574.4;49702775.46666667;49900339.2;68098594.13333334;0;13658.033333333333;9170.066666666668;10097.033333333333;13644.566666666668;8863.333333333334;0
GreySystem灰色系统__strength_analysis;111.11123352052333;213.09642639168112;220.7080485026158;213.86428731258104;208.9393549601625;0;58795076.266666666;142435669.33333334;120297745.06666666;132819899.73333333;134800042.66666666;0;8949.866666666667;18280.033333333333;18693.5;16833.166666666668;17686.633333333335;0
dss__keyboard_interrupt;114.27989807129876;106.80893910737747;103.64538828523364;114.15072275795974;108.30342203777012;0;71924258.13333334;58323217.06666667;71497181.86666666;68076748.8;72701678.93333334;0;9263.266666666666;9290.066666666668;8529.833333333334;9090.166666666666;8963.233333333334;0
chapter16__chapter16;104.87145487480254;117.74175669357841;110.36202901191815;105.13245188399257;107.97088775640005;0;57866649.6;68581102.93333334;55613303.46666667;67678344.53333333;59924616.53333333;0;8763.266666666666;9070.133333333333;8996.7;8936.633333333333;8936.7;0
fetch_data__fetch_faster_rcnn_final_model;346.36418863931516;376.44340464263223;352.17383066815285;336.5861119587692;382.73712005625515;0;518938350.93333334;608680618.6666666;454617224.53333336;529356390.4;430339003.73333335;0;37776.933333333334;44019.23333333333;37824.066666666666;36690.566666666666;41391.1;0
案例2非线性__Genetic;107.69095865878238;113.80702463788136;108.47772115070256;112.49926198320463;108.37723185223682;0;64981674.666666664;60933597.86666667;61788569.6;72740454.4;69603601.06666666;0;8990.1;8776.666666666666;9476.733333333334;9483.533333333333;8730.0;0
基于概率神经网络的手写体数字识别__digital_rec;104.03303426105995;103.17459462481784;105.08011016855792;106.11162872303781;108.80207316075685;0;68573320.53333333;68922026.66666667;72544392.53333333;61794850.13333333;64540535.46666667;0;8763.233333333334;8776.6;8709.9;8783.233333333334;9076.766666666666;0
external__plot_brewer_cmap;149.37785491941614;146.70741780602063;148.87016245530103;142.363282267272;143.432633972265;0;62620194.13333333;61895611.733333334;68420266.66666667;89587165.86666666;38771916.8;0;11450.7;11490.7;11757.433333333332;11350.633333333333;11344.0;0
Matlab源程序__problem2;120.84987640380471;103.47022959388366;107.15222930908786;101.04122975666542;107.46657460524779;0;51483033.6;58841907.2;61122696.53333333;77779080.53333333;69925683.2;0;9910.166666666666;8836.633333333333;8909.833333333334;8943.166666666666;8783.3;0
toyCar__MAIN;106.4479339599687;107.18381245924004;0.0;109.63252258300005;105.45034230540429;0;54366754.13333333;73154150.4;0.0;66195592.53333333;56494489.6;0;8683.3;8923.4;0.0;9376.866666666667;8616.566666666668;0
2D模型改进__effect_v1_v2_H;112.568148803839;104.47476857504225;105.82790730797764;106.65139160138011;105.3624343871236;0;63671637.333333336;54591351.46666667;70162295.46666667;66726843.733333334;63992763.733333334;0;8856.733333333334;8716.5;8763.166666666666;9143.4;9056.633333333333;0
LFW__getlfwPairs;119.01204427076348;118.22569224055042;114.35021260582725;109.90290578207156;119.37661234535044;0;61388663.46666667;65813026.13333333;53038148.266666666;73101312.0;64076185.6;0;9216.766666666666;9230.1;9703.533333333333;8876.533333333333;9083.4;0
adminfunc__biosigpathfirst;111.38357086185327;107.36355641682555;113.8712895710972;106.91370900475303;109.14207305911114;0;71477930.66666667;52392482.13333333;59944413.86666667;68875605.33333333;65723460.266666666;0;9416.7;9323.233333333334;9103.3;9189.966666666667;9036.6;0
chapter22__chapter22_lvq;115.91785736083209;106.86776326500112;117.09279276537903;111.14557647696735;109.08621164946817;0;62540322.13333333;60727159.46666667;58115822.93333333;63782365.86666667;62774886.4;0;9190.033333333333;8943.433333333332;9203.333333333334;9483.366666666667;8556.433333333332;0
fetch_data__fetch_region_proposals;234.06555074049976;242.41173807781306;318.5929656982053;234.02298990891043;224.09290008545892;0;251858534.4;270485777.06666666;251412070.4;212274244.26666668;281861734.4;0;25620.8;27814.633333333335;36923.3;25287.7;24380.333333333332;0
chap11__chap11_8;123.66234079999073;103.92939147952323;105.64254302983366;108.68991546626202;106.00219624833554;0;64983995.733333334;49822651.733333334;69464473.6;60756104.53333333;54190626.13333333;0;9009.866666666667;8716.566666666668;9183.433333333332;9723.4;8729.866666666667;0
AOC解决TSP问题__mian;116.84516143800768;103.34370422368131;109.30013580331578;107.57754720050337;114.00976257319756;0;68784401.06666666;67103129.6;46866705.06666667;65345126.4;79928934.4;0;9270.0;8569.833333333334;9343.433333333332;8536.366666666667;8869.966666666667;0
goddardRocket__MAIN;112.40360107419741;119.0123260497232;126.7556838988928;112.072859700678;110.07191111241119;0;54012313.6;40274056.53333333;52729309.86666667;62532403.2;53639304.53333333;0;9083.366666666667;10376.966666666667;11037.4;8809.933333333332;9350.0;0
chap13__chap13_5;105.29689381906259;111.33814290372538;111.44529062908259;116.07167816161139;107.80655161544564;0;50585326.93333333;73606621.86666666;63023650.13333333;58769681.06666667;59239492.266666666;0;8576.533333333333;9503.366666666667;8889.9;8790.066666666668;8816.466666666667;0
TSP(SA)__main;112.2726023355887;221.40415191648256;216.0401962280487;208.57656453456923;213.98157196047833;0;69032618.66666667;139972061.86666667;123638033.06666666;128361403.73333333;129010756.26666667;0;9110.0;19653.733333333334;18173.3;17426.4;17953.466666666667;0
