csvFile,rowNumber,sameOutput,sameData,sameResults,runTime,runTimeAI,FilePath
gpt3,38,0,1,0,0.8681823,0.0697926,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter23 基于蚁群算法的二维路径规划算法/main.m
gpt3,39,1,1,1,0.810794,0.8067151,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter24 基于蚁群算法的三维路径规划算法/main.m
gpt3,40,1,1,0,4.8108283,4.4508608,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter25 有导师学习神经网络的回归拟合——基于近红外光谱的汽油辛烷值预测/main.m
gpt3,41,1,1,0,2.4361224,2.3617613,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter26 有导师学习神经网络的分类——￥尾花种类识别/main.m
gpt3,42,1,1,0,5.713432,5.2089035,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter27 无导师学习神经网络的分类——矿井突水水源判别/main.m
gpt3,43,1,1,0,1.3132686,1.223247,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter30 极限学习机的回归拟合及分类——对比实验研究/main.m
gpt3,44,1,1,1,164.3866114,136.2928142,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter5 基于遗传算法的LQR控制器优化设计/GA_LQR_run.m
gpt3,45,1,1,1,14.3535648,14.2018546,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter6 遗传算法工具箱详解及应用/GA_demo_run.m
gpt3,46,1,1,0,0.5330327,0.4472047,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter8 基于量子遗传算法的函数寻优算法/QuantumMain.m
gpt3,47,1,1,1,3.4441555,3.3926752,Algorithms_MathModels/MATLAB智能算法30个案例分析/chapter9 基于遗传算法的多目标优化算法/my_first_multi_run.m
gpt3,48,0,1,0,0.7444856,0.136611,Algorithms_MathModels/RegressionAnalysis回归分析/unlinear_regression.m
gpt3,49,0,1,0,2.1940448,0.1651418,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter1/BPDLX.m
gpt3,50,0,1,0,1.6127601,0.1729384,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter1/chapter1_1.m
gpt3,51,1,1,0,2.2989632,1.0427448,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter10/chapter10.m
gpt3,52,1,1,0,0.4341981,0.2842748,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter11/main.m
gpt3,53,1,1,0,3.4204265,2.2219169,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter16/chapter16.m
gpt3,54,1,1,0,3.1628166,3.4900485,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter22/chapter22_bp.m
gpt3,55,1,1,0,4.1150971,3.8662415,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter22/chapter22_lvq.m
gpt3,56,1,1,0,147.877466,134.4366667,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter22/crossvalind_lvq.m
gpt3,57,1,1,0,7.2069781,6.5638874,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter22/test.m
gpt3,58,1,1,1,1.015785,0.8025418,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter23/wavenn.m
gpt3,59,0,1,0,2.0377233,0.0710646,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter24/FuzzyNet.m
gpt3,60,0,1,0,1.8601994,0.3476421,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter25/FCMGRNN.m
gpt3,61,1,0,0,4.450506,3.9380637,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter4/BP.m
gpt3,62,1,1,0,14.2018813,13.1479918,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter4/Genetic.m
gpt3,63,1,1,1,9.2679744,8.2515832,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter5/Bp_Ada_Fore.m
gpt3,64,1,1,1,1.0835446,0.9650089,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter9/chapter9.m
gpt3,65,1,1,1,0.5596459,0.4351503,Algorithms_MathModels/《MATLAB 神经网络30个案例分析》源程序 数据/chapter9/waiji.m
gpt3,66,0,1,0,0.5378706,0.1119458,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_1.m
gpt3,67,1,1,1,0.1807772,0.1120652,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_11.m
gpt3,68,0,1,0,1.2738155,0.2267862,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_12.m
gpt3,69,0,1,0,0.9499415,0.4207102,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_13.m
gpt3,70,1,1,0,0.1447311,0.1260087,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_14.m
gpt3,71,1,1,1,0.5192499,0.436613,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_2.m
gpt3,72,1,1,1,1.4734498,1.5538013,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_3.m
gpt3,73,1,1,1,1.6796273,1.5481955,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_4.m
gpt3,74,1,1,1,0.5457491,0.4823648,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap11/chap11_8.m
gpt3,75,1,1,1,1.5818212,0.8839246,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap13/chap13_18.m
gpt3,76,1,1,1,0.9577438,0.8707455,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap13/chap13_5.m
gpt3,77,1,1,1,1.4880442,1.3367675,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap13/chap13_9.m
gpt3,78,1,1,1,1.6919728,1.2897716,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_10.m
gpt3,79,1,1,0,0.0756745,0.089713,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_11.m
gpt3,80,1,1,0,0.4544146,0.396624,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_2.m
gpt3,81,1,1,0,0.4092044,0.3229963,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_3.m
gpt3,82,1,1,1,0.7419693,0.7288316,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_7.m
gpt3,83,1,1,1,0.5135231,0.5132332,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_8.m
gpt3,84,1,1,1,0.5668344,0.5471472,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap15/chap15_9.m
gpt3,85,0,1,0,0.494085,0.1419919,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/Untitled.m
gpt3,86,1,1,1,0.5522267,0.4144124,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_05.m
gpt3,87,1,1,0,0.6323758,0.4429775,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_07.m
gpt3,88,1,1,1,0.9480205,0.9255488,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_10.m
gpt3,89,1,1,1,0.6817665,0.7935747,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_11.m
gpt3,90,1,1,1,1.2972977,1.0661983,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_16.m
gpt3,91,1,1,1,0.7490523,0.7129978,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_17.m
gpt3,92,1,1,1,1.0540538,1.4635504,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_18.m
gpt3,93,1,1,1,0.9582441,1.9581418,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_19.m
gpt3,94,1,1,1,0.9488734,0.9578861,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_20.m
gpt3,95,0,1,0,0.6304237,0.1211463,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_22.m
gpt3,96,1,1,1,1.4270034,0.7008135,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap4/chap4_29.m
gpt3,97,1,1,1,0.9132344,0.9723419,Algorithms_MathModels/《MATLAB图像处理》源文件/本书源文件/chap6/chap6_16.m
gpt3,98,1,1,0,0.3679718,0.3351494,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第10章 随机神经网络/example10_1.m
gpt3,99,0,1,0,0.7234669,0.3621898,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第10章 随机神经网络/sa_tsp.m
gpt3,100,1,1,0,6.0338038,5.8183253,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第13章 神经网络应用实例/Elman网络预测上证股市开盘价/elm_stockpredict.m
gpt3,101,1,1,0,5.3615484,4.7433402,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第13章 神经网络应用实例/Elman网络预测上证股市开盘价/elman_stock.m
gpt3,102,0,1,0,1.9219704,0.0654304,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第13章 神经网络应用实例/基于概率神经网络的手写体数字识别/digital_rec.m
gpt3,103,1,1,0,1.3914686,0.3577952,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第2章 MATLAB快速入门/code/chapter_2_3_5/use_d_func.m
gpt3,104,1,1,1,0.6482089,0.6420559,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第7章 径向基函数网络/curve_filt_newrb_sim.m
gpt3,105,1,1,1,0.2635382,0.2796825,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第7章 径向基函数网络/grnn_test.m
gpt3,106,1,1,1,0.1267659,0.1122613,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第7章 径向基函数网络/pnn_test.m
gpt3,107,1,1,0,0.6208859,0.592681,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第7章 径向基函数网络/pnn_test2.m
gpt3,108,1,1,0,1.0332829,0.6112065,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第9章 反馈神经网络/bsb_test.m
gpt3,109,1,1,1,0.7158504,0.8320158,Algorithms_MathModels/《MATLAB神经网络原理与实例精解》随书附带源程序/第9章 反馈神经网络/elman_stockTest.m
gpt3,110,1,1,1,0.7100119,0.5728891,Algorithms_MathModels/《基于MATLAB的高等数学问题求解》 随书附带源程序/CH07/bisect_demo.m
gpt3,111,1,1,1,1.5665066,1.4372719,CAM/demo.m
gpt3,112,0,1,1,0.0981729,0.0903807,Coursera-Machine-Learning-Stanford/Week 7/Programming Assignment/machine-learning-ex6/ex6/getVocabList.m
gpt3,113,1,1,1,0.1089325,0.102409,Coursera-Machine-Learning-Stanford/Week 9/Programming Assignment/machine-learning-ex8/ex8/loadMovieList.m
gpt3,114,1,1,1,0.1967263,0.1472415,DeepLearnToolbox/tests/runalltests.m
gpt3,115,1,1,1,0.0825063,0.0701098,DeepLearnToolbox/util/myOctaveVersion.m
gpt3,116,1,0,1,168.8746426,139.729057,DnCNN/TrainingCodes/DnCNN_TrainingCodes_v1.0/data/GenerateData_model_64_25_Res_Bnorm_Adam.m
gpt3,117,1,0,0,0.1136223,0.0356399,DnCNN/TrainingCodes/DnCNN_TrainingCodes_v1.1/data/GenerateTrainingPatches.m
gpt3,118,1,0,1,3.175905,0.1709265,DnCNN/utilities/Merge_Bnorm_Demo.m
gpt3,119,1,1,1,1.7066227,1.7223953,FaceVerification/dataset/LFW/getlfwPairs.m
gpt3,120,1,1,1,53.5366343,59.950006,Gait-Tracking-With-x-IMU/Gait Tracking With x-IMU/Script.m
gpt3,121,1,1,1,0.2597653,0.0951718,Gait-Tracking-With-x-IMU/Gait Tracking With x-IMU/Quaternions/TestScript.m
gpt3,122,1,0,0,78.8144892,82.3628493,Image-Fusion/General Evaluation Metric/Evaluation/Evaluation_for_Multi_Algorithm.m
gpt3,123,1,0,0,9.4155005,10.6375675,Image-Fusion/General Evaluation Metric/Evaluation/Evaluation_for_Single_Algorithm.m
gpt3,124,1,1,1,0.6528854,0.5822603,Image-Fusion/General Evaluation Metric/Evaluation/Evaluation_for_Single_Image.m
gpt3,125,1,1,0,0.2448348,0.1787633,Image-Harmonization-Dataset-iHarmony4/Lalonde and Efros/colorStatistics/3rd_party/emd/demo_emd.m
gpt3,126,0,1,0,2.8337126,1.8213191,MCM-ICM/2019美赛特等奖/2019_MCM-ICM_Problems/2018_MCMProblemC_DATA/NFLIS.m
gpt3,127,1,1,1,0.1928395,0.1441899,MCM-ICM/2019美赛特等奖/2019_MCM-ICM_Problems/2018_MCMProblemC_DATA/loading.m
gpt3,128,0,0,0,1.982051,0.0638621,MCM-ICM/2019美赛特等奖/2019_MCM-ICM_Problems/2018_MCMProblemC_DATA/uscities.m
gpt3,129,0,1,0,5.3552201,0.0961565,MIMO_OFDM/第10章 天线分集与空时编码技术/Alamouti空时块码/Alamouti_scheme.m
gpt3,130,1,1,1,7.178042,6.7818557,MIMO_OFDM/第10章 天线分集与空时编码技术/瑞利衰落信道下MRC性能/MRC_scheme.m
gpt3,131,0,1,0,18.2321516,0.2649074,MIMO_OFDM/第10章 天线分集与空时编码技术/空时格码/STTC_simulation.m
gpt3,132,0,1,0,0.9309028,0.1405309,MIMO_OFDM/第12章 在发射端利用信道状态信息/天线选择技术/MIMO_channel_cap_ant_sel_optimal.m
gpt3,133,0,1,0,0.7063579,0.1366624,MIMO_OFDM/第12章 在发射端利用信道状态信息/天线选择技术/MIMO_channel_cap_ant_sel_subopt.m
gpt3,134,1,1,1,0.7343752,0.6926968,MIMO_OFDM/第1章 无线信道：传播和衰落/瑞利衰落和莱斯衰落信道模型/plot_Ray_Ric_channel.m
gpt3,135,1,1,1,1.4395515,1.4284672,MIMO_OFDM/第1章 无线信道：传播和衰落/自由空间路径损耗/plot_PL_general.m
gpt3,136,1,1,1,1.1294621,0.9915595,MIMO_OFDM/第2章 SISO信道模型/2径信道模型和指数信道模型/plot_2ray_exp_model.m
gpt3,137,1,1,1,1.3388312,1.6318566,MIMO_OFDM/第2章 SISO信道模型/FWGN信道模型/plot_FWGN.m
gpt3,138,1,1,1,1.5206731,1.2737952,MIMO_OFDM/第2章 SISO信道模型/IEEE802.11信道模型/plot_IEEE80211_model.m
gpt3,139,1,1,1,48.7442959,62.4811313,MIMO_OFDM/第2章 SISO信道模型/Jakes模型/plot_Jakes_model.m
gpt3,140,1,1,1,1.5850483,1.4037818,MIMO_OFDM/第2章 SISO信道模型/SUI信道模型/plot_SUI_channel.m
gpt3,141,1,1,1,1.8521534,1.8432081,MIMO_OFDM/第2章 SISO信道模型/Saleh-Valenzuela信道模型/plot_SV_model_ct.m
gpt3,142,1,1,1,0.545079,0.4738833,MIMO_OFDM/第2章 SISO信道模型/射线信道模型/plot_ray_fading.m
gpt3,143,1,1,1,0.9089751,0.9083217,MIMO_OFDM/第2章 SISO信道模型/改进FWGN信道模型/plot_modeified_FWGN.m
gpt3,144,1,1,0,0.8407484,0.7617281,MIMO_OFDM/第4章 OFDM概述/检验正交性/test_orthogonality.m
gpt3,145,0,1,0,0.7184168,0.0924528,MIMO_OFDM/第5章 CFO估计技术/CFO_estimation.m
gpt3,146,1,1,0,0.3507429,0.3419397,MIMO_OFDM/第7章 PAPR/Chu序列和IEEE802.16e前导的PAPR/PAPR_of_Chu.m
gpt3,147,1,1,1,0.8345312,0.852136,MIMO_OFDM/第9章 MIMO信道容量/Ergodic_Capacity_CDF.m
gpt3,148,1,1,1,0.589142,0.6291019,MIMO_OFDM/第9章 MIMO信道容量/Ergodic_Capacity_Correlation.m
gpt3,149,1,1,1,0.6308638,0.63637,MIMO_OFDM/第9章 MIMO信道容量/Ergodic_Capacity_vs_SNR.m
gpt3,150,1,1,1,0.111126,0.083456,Machine-Learning-homework/machine-learning-ex6/ex6/getVocabList.m
gpt3,151,1,1,1,0.1248944,0.0918927,Machine-Learning-homework/machine-learning-ex8/ex8/loadMovieList.m
gpt3,152,1,1,1,0.9585314,1.1604951,Math_Model/2-1国赛题目+论文/2012/B077/附件/附件/Ratio.m
gpt3,153,0,1,0,0.9574058,0.1431973,Math_Model/2-1国赛题目+论文/2012/B077/附件/附件/account1.m
gpt3,154,1,1,0,0.9417603,0.8583093,Math_Model/2-1国赛题目+论文/2012/B077/附件/附件/account2.m
gpt3,155,1,1,0,0.8535119,0.9617291,Math_Model/2-1国赛题目+论文/2012/B077/附件/附件/account4.m
gpt3,156,1,1,0,1.0011282,0.9399294,Math_Model/2-1国赛题目+论文/2012/B077/附件/附件/profit.m
gpt3,157,0,1,0,11.9680574,2.0838933,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/Untitled.m
gpt3,158,0,1,0,9.258787,1.8861183,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/bei_yingli.m
gpt3,159,1,1,1,1.3009721,1.2046547,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/beimian_fadianliang.m
gpt3,160,0,1,0,8.4177701,1.9871253,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/dong_yingli.m
gpt3,161,1,1,0,1.3818462,1.2004575,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/fadianliang.m
gpt3,162,1,1,1,10.6507677,10.0788379,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/nan_yingli.m
gpt3,163,1,1,1,1.2309176,1.1852103,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/renyijiaodu_fadianliang.m
gpt3,164,0,1,0,1.5971089,1.6115674,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/shuiping_yingli.m
gpt3,165,1,1,1,10.2942369,10.1386899,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/wuding2_yingli.m
gpt3,166,1,1,1,9.859616,8.5435069,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/wuding_yingli.m
gpt3,167,1,1,1,10.1907933,10.4482432,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/xi_yingli.m
gpt3,168,1,1,0,1.6519222,1.3867727,Math_Model/2-1国赛题目+论文/2012/B149/B149/B149源程序/M/zuijiajiaodu.m
gpt3,169,1,1,1,1.5626041,1.0883473,Math_Model/2-1国赛题目+论文/2013/A056/5486/Matlab源程序/problem1_2.m
gpt3,170,1,1,1,2.0047991,1.4335517,Math_Model/2-1国赛题目+论文/2013/A056/5486/Matlab源程序/problem2.m
gpt3,171,1,1,0,0.8606603,0.8305339,Math_Model/2-1国赛题目+论文/2013/A056/5486/Matlab源程序/ti3.m
gpt3,172,1,1,0,0.1041941,0.1376495,Math_Model/2-1国赛题目+论文/2013/A056/5486/Matlab源程序/ti31.m
gpt3,173,1,1,1,5.7058883,5.9927181,Math_Model/2-1国赛题目+论文/2013/A117/1A0902/代码/第四问/lengthstat.m
gpt3,174,0,1,0,2.1969072,1.8361278,Math_Model/2-1国赛题目+论文/2013/B254/814姜荣杰，朱佳亭，金建邦/程序/p21/findd.m
gpt3,175,1,1,0,2.1040433,1.7401053,Math_Model/2-1国赛题目+论文/2013/B254/814姜荣杰，朱佳亭，金建邦/程序/p21/tou.m
gpt3,176,1,1,0,2.0583555,1.8964451,Math_Model/2-1国赛题目+论文/2013/B254/814姜荣杰，朱佳亭，金建邦/程序/p22/findr.m
gpt3,177,-1,-1,-1,-1,-1,Math_Model/2-1国赛题目+论文/2013/B254/814姜荣杰，朱佳亭，金建邦/程序/p3/class.m
